source,sourceLabel,target,targetLabel,richtingBeschrijving,rolLabel,start,eind,punt
http://www.wikidata.org/entity/Q117244395,Romaan Gislijn Gezelle,http://www.wikidata.org/entity/Q115831509,Joseph Gezelle,Onderlinge Correspondentie (Source → Target),briefschrijver,,,1871-05-25T00:00:00Z
http://www.wikidata.org/entity/Q117244395,Romaan Gislijn Gezelle,http://www.wikidata.org/entity/Q20902162,Louise Gezelle,Onderlinge Correspondentie (Source → Target),briefschrijver,,,1871-03-14T00:00:00Z
http://www.wikidata.org/entity/Q117244395,Romaan Gislijn Gezelle,http://www.wikidata.org/entity/Q336977,Guido Gezelle,Relevant Persoon (Zender) → Guido (Ontvanger),briefschrijver,1855-02-01T00:00:00Z,,
http://www.wikidata.org/entity/Q126687489,Romain Joseph Lagae,http://www.wikidata.org/entity/Q336977,Guido Gezelle,Relevant Persoon (Zender) → Guido (Ontvanger),patiënt,,,
http://www.wikidata.org/entity/Q119006339,Samuel Roper,http://www.wikidata.org/entity/Q336977,Guido Gezelle,Relevant Persoon (Zender) → Guido (Ontvanger),briefschrijver,,,
http://www.wikidata.org/entity/Q116508674,Savina L.J. van Caloen-de Gourcy,http://www.wikidata.org/entity/Q113486838,Emilie van Outryve d'Ydewalle,Onderlinge Correspondentie (Source → Target),vriend,,,
http://www.wikidata.org/entity/Q116508674,Savina L.J. van Caloen-de Gourcy,http://www.wikidata.org/entity/Q336977,Guido Gezelle,Relevant Persoon (Zender) → Guido (Ontvanger),briefschrijver,1891-12-17T00:00:00Z,1892-06-09T00:00:00Z,
http://www.wikidata.org/entity/Q14331462,Seraphijn Dequidt,http://www.wikidata.org/entity/Q336977,Guido Gezelle,Relevant Persoon (Zender) → Guido (Ontvanger),briefschrijver,,,1893-12-18T00:00:00Z
http://www.wikidata.org/entity/Q56036025,Servaas Domien Daems,http://www.wikidata.org/entity/Q336977,Guido Gezelle,Relevant Persoon (Zender) → Guido (Ontvanger),briefschrijver,,,1886-11-01T00:00:00Z
http://www.wikidata.org/entity/Q116522102,Sidonie Mahieu,http://www.wikidata.org/entity/Q336977,Guido Gezelle,Relevant Persoon (Zender) → Guido (Ontvanger),correspondent,,,1891-05-30T00:00:00Z
http://www.wikidata.org/entity/Q2663876,Sint-Lodewijkscollege,http://www.wikidata.org/entity/Q115837633,Louis Vanheule,Onderlinge Correspondentie (Source → Target),leerkracht,1845-01-01T00:00:00Z,1851-01-01T00:00:00Z,
