Source,Target,Type,Id,Label,timeset,Weight,relationtype,endyeare
Q115831039,Q336977,Undirected,623,,,1,Significant persoon,1882
Q115818861,Q336977,Undirected,624,,,1,Significant persoon,1884
Q115981931,Q336977,Undirected,625,,,1,Significant persoon,1882
Q2345694,Q336977,Undirected,626,,,1,Significant persoon,1882
Q115823191,Q336977,Undirected,627,,,1,Significant persoon,1882
Q117227040,Q336977,Undirected,629,,,1,Significant persoon,1882
Q120504176,Q336977,Undirected,630,,,1,Significant persoon,1882
Q2215154,Q336977,Undirected,631,,,1,Significant persoon,1883
Q120550899,Q336977,Undirected,633,,,1,Significant persoon,1883
Q115979140,Q336977,Undirected,634,,,1,Significant persoon,1883
Q115821474,Q336977,Undirected,635,,,1,Significant persoon,1883
Q125365561,Q336977,Undirected,637,,,1,Significant persoon,1883
Q116687356,Q336977,Undirected,638,,,1,Significant persoon,1883
Q17428533,Q336977,Undirected,640,,,1,Significant persoon,1883
Q110039260,Q336977,Undirected,641,,,1,Significant persoon,1883
Q111342238,Q336977,Undirected,642,,,1,Significant persoon,1883
Q115308515,Q336977,Undirected,643,,,1,Significant persoon,1883
Q2675588,Q336977,Undirected,644,,,1,Significant persoon,1883
Q116679969,Q336977,Undirected,646,,,1,Significant persoon,1883
Q120920666,Q336977,Undirected,647,,,1,Significant persoon,1884
Q120913841,Q336977,Undirected,648,,,1,Significant persoon,1884
Q116672748,Q336977,Undirected,650,,,1,Significant persoon,1884
Q2163210,Q336977,Undirected,651,,,1,Significant persoon,1884
Q55672664,Q336977,Undirected,652,,,1,Significant persoon,1884
Q970833,Q336977,Undirected,653,,,1,Significant persoon,1887
Q136805839,Q336977,Undirected,654,,,1,Significant persoon,1884
Q115844439,Q336977,Undirected,655,,,1,Significant persoon,1893
Q115836535,Q336977,Undirected,656,,,1,Significant persoon,1884
Q115839088,Q336977,Undirected,657,,,1,Significant persoon,1885
Q115825992,Q336977,Undirected,659,,,1,Significant persoon,1884
Q377071,Q336977,Undirected,662,,,1,Significant persoon,1885
Q115806424,Q336977,Undirected,663,,,1,Significant persoon,1885
Q115815697,Q336977,Undirected,664,,,1,Significant persoon,1885
Q115839353,Q336977,Undirected,666,,,1,Significant persoon,1885
Q115980044,Q336977,Undirected,667,,,1,Significant persoon,1885
Q56036018,Q336977,Undirected,668,,,1,Significant persoon,1885
Q110039361,Q336977,Undirected,669,,,1,Significant persoon,1886
Q120651810,Q336977,Undirected,671,,,1,Significant persoon,1886
Q56036023,Q336977,Undirected,673,,,1,Significant persoon,1886
Q122872984,Q336977,Undirected,675,,,1,Significant persoon,1886
Q120640333,Q336977,Undirected,676,,,1,Significant persoon,1886
Q28973684,Q336977,Undirected,677,,,1,Significant persoon,1886
Q2087117,Q336977,Undirected,678,,,1,Significant persoon,1886
Q114081509,Q336977,Undirected,680,,,1,Significant persoon,1886
Q2457997,Q336977,Undirected,682,,,1,Significant persoon,1886
Q37766220,Q336977,Undirected,683,,,1,Significant persoon,1886
Q2099446,Q336977,Undirected,684,,,1,Significant persoon,1897
Q115831295,Q336977,Undirected,685,,,1,Significant persoon,1886
Q120718341,Q336977,Undirected,686,,,1,Significant persoon,1886
Q136759863,Q336977,Undirected,687,,,1,Significant persoon,1886
Q1280942,Q336977,Undirected,689,,,1,Significant persoon,1886
Q2191260,Q336977,Undirected,690,,,1,Significant persoon,1897
Q2481707,Q336977,Undirected,691,,,1,Significant persoon,1886
Q125559890,Q336977,Undirected,692,,,1,Significant persoon,1886
Q121053317,Q336977,Undirected,694,,,1,Significant persoon,1888
Q125516501,Q336977,Undirected,696,,,1,Significant persoon,1887
Q2490990,Q336977,Undirected,697,,,1,Significant persoon,1887
Q136703696,Q336977,Undirected,698,,,1,Significant persoon,1887
Q121000890,Q336977,Undirected,699,,,1,Significant persoon,1887
Q42853596,Q336977,Undirected,700,,,1,Significant persoon,1887
Q3032807,Q336977,Undirected,701,,,1,Significant persoon,1887
Q120488044,Q336977,Undirected,702,,,1,Significant persoon,1887
Q3185717,Q336977,Undirected,703,,,1,Significant persoon,1887
Q115834834,Q336977,Undirected,706,,,1,Significant persoon,1887
Q115820195,Q336977,Undirected,708,,,1,Significant persoon,1887
Q28973666,Q336977,Undirected,709,,,1,Significant persoon,1887
Q719358,Q336977,Undirected,710,,,1,Significant persoon,1887
Q115813641,Q336977,Undirected,711,,,1,Significant persoon,1887
Q21549953,Q336977,Undirected,712,,,1,Significant persoon,1887
Q115818151,Q336977,Undirected,713,,,1,Significant persoon,1887
Q120639934,Q336977,Undirected,714,,,1,Significant persoon,1888
Q119013806,Q336977,Undirected,716,,,1,Significant persoon,1888
Q120999228,Q336977,Undirected,719,,,1,Significant persoon,1888
Q56036064,Q336977,Undirected,720,,,1,Significant persoon,1888
Q1334711,Q336977,Undirected,722,,,1,Significant persoon,1889
Q117246781,Q336977,Undirected,724,,,1,Significant persoon,1889
Q3067739,Q336977,Undirected,725,,,1,Significant persoon,1889
Q123414712,Q336977,Undirected,726,,,1,Significant persoon,1889
Q115822210,Q336977,Undirected,727,,,1,Significant persoon,1889
Q2154331,Q336977,Undirected,728,,,1,Significant persoon,1891
Q118733026,Q336977,Undirected,730,,,1,Significant persoon,1889
Q115814290,Q336977,Undirected,731,,,1,Significant persoon,1889
Q122831483,Q336977,Undirected,732,,,1,Significant persoon,1889
Q115817263,Q336977,Undirected,733,,,1,Significant persoon,1890
Q2266893,Q336977,Undirected,734,,,1,Significant persoon,1890
Q2319173,Q336977,Undirected,737,,,1,Significant persoon,1890
Q4423628,Q336977,Undirected,740,,,1,Significant persoon,1890
Q20604626,Q336977,Undirected,741,,,1,Significant persoon,1891
Q3450211,Q336977,Undirected,742,,,1,Significant persoon,1896
Q115818168,Q336977,Undirected,743,,,1,Significant persoon,1891
Q120514200,Q336977,Undirected,744,,,1,Significant persoon,1891
Q29019503,Q336977,Undirected,745,,,1,Significant persoon,1891
Q118120867,Q336977,Undirected,746,,,1,Significant persoon,1891
Q118120903,Q336977,Undirected,747,,,1,Significant persoon,1891
Q123399726,Q336977,Undirected,749,,,1,Significant persoon,1891
Q116508674,Q336977,Undirected,751,,,1,Significant persoon,1891
Q1851297,Q336977,Undirected,753,,,1,Significant persoon,1892
Q18533827,Q336977,Undirected,754,,,1,Significant persoon,1892
Q51168899,Q336977,Undirected,755,,,1,Significant persoon,1892
Q118151362,Q336977,Undirected,756,,,1,Significant persoon,1892
Q122963358,Q336977,Undirected,759,,,1,Significant persoon,1892
Q18655152,Q336977,Undirected,762,,,1,Significant persoon,1893
Q13575367,Q336977,Undirected,763,,,1,Significant persoon,1893
Q116621407,Q336977,Undirected,765,,,1,Significant persoon,1893
Q1707941,Q336977,Undirected,767,,,1,Significant persoon,1894
Q2627945,Q336977,Undirected,771,,,1,Significant persoon,1895
Q118555164,Q336977,Undirected,772,,,1,Significant persoon,1895
Q118142378,Q336977,Undirected,773,,,1,Significant persoon,1895
Q661733,Q336977,Undirected,779,,,1,Significant persoon,1896
Q571426,Q336977,Undirected,780,,,1,Significant persoon,1897
Q115844105,Q336977,Undirected,783,,,1,Significant persoon,1897
Q120644522,Q336977,Undirected,784,,,1,Significant persoon,1897
Q122775600,Q336977,Undirected,787,,,1,Significant persoon,1897
Q2298746,Q336977,Undirected,788,,,1,Significant persoon,1898
Q125357784,Q336977,Undirected,790,,,1,Significant persoon,1899
Q75279907,Q336977,Undirected,791,,,1,Significant persoon,1899
